customerReferenceNumber,billingAccountNumber
3334179,3334166
3334153,3334178
3334167,3334172
3334161,3334207
3334155,3334170
3334165,3334221
3334171,3334196
3334169,3334189
3334181,3334225
3334157,3334213
3334177,3334187
3334159,3334197
3334175,3334200
3334163,3334199
3334173,3334174
3334183,3334215
,3334209
,3334203
,3334222
,3334154
,3334195
,3334218
,3334219
,3334224
,3334160
,3334230
,3334232
,3334211
,3334220
,3334227
,3334216
,3334226
,3334228
,3334206
,3334205
,3334201
,3334202
,3334210
,3334168
,3334198
,3334212
,3334190
,3334180
,3334208
,3334186
,3334162
,3334193
,3334158
,3334176
,3334229
,3334188
,3334185
,3334194
,3334164
,3334182
,3334217
,3334184
,3334223
,3334231
,3334191
,3334204
,3334214
,3334156
,3334192
